nro_app,id_artefacto,nombre,tier,estado_app,donde_esta
103,117,Lorena Martin,N3,disponible,Viernes 14:30 · Business — DEL HYPE AL P&L
109,123,Nicolás Madoery,N3,disponible,Viernes 14:00 · Visión — Del estereo a la musica liquida
110,124,Franz Tuñez,N3,disponible,Viernes 14:30 · Pastilla — Solarpunk & Bitcoin: Financiando la Civilización Regenerativa
112,126,Axel Arellano,N3,disponible,Viernes 16:30 · ABC — Arbitraje P2P: una nueva profesión financiera
113,127,Agostina Macagno (PlataMT),N3,disponible,"Viernes 14:00 · Business — IA lingüística para cripto en Argentina: precisión, localización y compliance"
114,128,Sara Plencovich,N3,disponible,Viernes 15:40 · Pastilla — Bitcoin desde una perspectiva austríaca
118,132,Luis J. Canessa,N1,disponible,"Viernes 15:00 · ABC — LABIF: Impulsando el Impacto Real y la Adopción de Bitcoin en América Latina Luis J. Canessa, Alexandra Navarro, Román Martinez | zona para reordenar — Los desafíos de las Universidades frente a la IA : Luis J. Canessa y Otros"
125,139,Sergio Demian Lerner,N1,disponible,Viernes 16:00 · WorkShop — Bit2: El L2 de Bitcoin para comercio entre agentes : Sergio Demián Lerner
129,143,JJ Chagerben,N1,disponible,Viernes 13:00 · Pastilla — Invertir en Bitcoin o esclavitud : JJ Chagerben
130,144,Mauricio Castillo,N3,disponible,Sábado 15:00 · Business — Hallos: La capa de confianza del Ticketing con Blockchain
131,145,Ezequiel Olgiatti,N2,disponible,Sábado 11:30 · ABC — Estafas: como reconocerlas y evitarlas : Ezequiel Olgiatti
132,146,Alfredo Roisenzvit,N2,disponible,"Viernes 16:00 · Pastilla — Bancos vs. DeFi | Sábado 10:00 · WorkShop — Dont Trust the AI. Verify: cómo usar IA para HODL, DCA, trading y research en Bitcoin : Alfredo Roisenzvit"
139,153,Elisandro Santos,N3,disponible,Sábado 12:45 · WorkShop — De cero a negocio con IA: creá y lanzá un emprendimiento en tiempo récord
143,157,elsultanbitcoin,N3,disponible,"Viernes 14:30 · ABC — Bitcoin bajo sanciones y bloqueos: Irán, Cuba, Venezuela | Sábado 10:30 · Business — Minería en Paraguay y la región Gustavo Hive , Mario Morlas , Bruno Vacotti , El Sultán (venezuela)"
144,158,Javier García Sánchez,N1,disponible,"Viernes 15:40 · Visión — HODL, ¿con todo tu sueldo? Repensando el riesgo más allá de la volatilidad : Javier García Sánchez"
147,161,Juanma Cáceres,N2,disponible,"Viernes 11:30 · Business — Riesgos jurídicos y penales en Crypto y Web3 : Juanma Cáceres | Viernes 12:30 · Business — Fundraising BITCOIN Y Crypto : Juanma Cáceres | Viernes 17:00 · WorkShop — Lanzando proyectos Bitcoin y Crypto desde Argentina al mundo en 2026 : Juanma Cáceres | Sábado 14:30 · ABC — Confiscación, embargos y Bitcoin: ¿puede el Estado argentino ejecutar tus sats?"
151,165,Gabi Battiato,N1,disponible,Viernes 12:30 · ABC — ¿De dónde vienen tus bitcoins? Seguí el rastro on-chain : Gabi Battiato
152,166,Manuel Ferrari,N1,disponible,Viernes 13:00 · WorkShop — Finanzas con Bitcoin: introducción práctica a DeFi : Manuel Ferrari
153,167,Mauricio Tovar (maurotov),N1,disponible,"Sábado 12:30 · Visión — La IA hackea sistemas open source pero, ¿puede la IA ser la respuesta a sus problemas?"
157,171,Diego Gurpegui,N1,disponible,Viernes 12:00 · ABC — Vos también tenés algo que ocultar Diego Gurpegui
159,173,Ramiro Carnicer Souble (Rama Dev),N3,disponible,Viernes 16:30 · WorkShop — Read the code! La nueva vagancia cognitiva de los devs
160,174,Pilar Sánchez Ordóñez (colectivo Ciberfeminismo),,disponible,Sábado 12:00 · ABC — Ciberfeminismo: diálogos colectivos para repensar el circuito web3 desde una mirada feminista.
162,176,stephie cherni,,disponible,Viernes 11:30 · Visión — Qué HODLear de vos (y qué soltar) en la era de la IA : Stephie Cherni
163,177,Gonzalo Nazar de la Vega (Gonza Nazar),,disponible,Viernes 13:00 · Visión — Propiedad Intelectual e IA: ¿Vestigio del pasado o necesidad esencial para el desarrollo tecnológico?
